rcsb_id,lig_3letter,lig_name,smiles
1C5Q,ESI,4-IODOBENZO[B]THIOPHENE-2-CARBOXAMIDINE,c1cc2c(cc(s2)C(=[NH2+])N)c(c1)I
1D4P,BPP,2-(4-benzylpiperidine-1-carbonyl)-1H-indole-5-carboximidamide,c1ccc(cc1)CC2CCN(CC2)C(=O)c3cc4cc(ccc4[nH]3)C(=N)N
1D6V,HOP,"(1S,2S,5S)2-(4-GLUTARIDYLBENZYL)-5-PHENYL-1-CYCLOHEXANOL",c1ccc(cc1)C2CCC(C(C2)O)c3ccc(cc3)C(=O)NCCCC(=O)O
1DLR,MXA,"6-(2,5-DIMETHOXY-BENZYL)-5-METHYL-PYRIDO[2,3-D]PYRIMIDINE-2,4-DIAMINE",Cc1c(cnc2c1c(nc(n2)N)N)Cc3cc(ccc3OC)OC
1E7V,LY2,2-MORPHOLIN-4-YL-7-PHENYL-4H-CHROMEN-4-ONE,c1ccc(cc1)c2cccc3c2OC(=CC3=O)N4CCOCC4
1EAP,HEP,PHENYL[1-(N-SUCCINYLAMINO)PENTYL]PHOSPHONATE,CCCCC(NC(=O)CCC(=O)O)P(=O)(O)Oc1ccccc1
1EJN,AGB,N-(1-ADAMANTYL)-N'-(4-GUANIDINOBENZYL)UREA,[H]N=C(N)Nc1ccc(cc1)CNC(=O)NC23CC4CC(C2)CC(C4)C3
1EWL,R99,N-[3-CARBOXY-2-HYDROXY-PROPIONYL]-D-HOMOPHENYLALANYL-AMINO-2-METHYLBUTANE,CC(C)CCNC(=O)C(CCc1ccccc1)NC(=O)C(CC(=O)O)O
1EWM,RL2,N-[3-CARBOXY-2-HYDROXY-PROPIONYL]-L-HOMOPHENYLALANYL-AMINO-2-METHYLBUTANE,CC(C)CCNC(=O)C(CCc1ccccc1)NC(=O)C(CC(=O)O)O
1FK9,EFZ,"(-)-6-CHLORO-4-CYCLOPROPYLETHYNYL-4-TRIFLUOROMETHYL-1,4-DIHYDRO-2H-3,1-BENZOXAZIN-2-ONE",c1cc2c(cc1Cl)C(OC(=O)N2)(C#CC3CC3)C(F)(F)F
1FM6,BRL,"2,4-THIAZOLIDIINEDIONE, 5-[[4-[2-(METHYL-2-PYRIDINYLAMINO)ETHOXY]PHENYL]METHYL]-(9CL)",CN(CCOc1ccc(cc1)CC2C(=O)NC(=O)S2)c3ccccn3
1FPU,PRC,N-[4-METHYL-3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-3-PYRIDINECARBOXAMIDE,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4cccnc4
1FV0,9AR,9-HYDROXY ARISTOLOCHIC ACID,COc1c(ccc2c1cc(c3c2c4c(cc3C(=O)O)OCO4)[N+](=O)[O-])O
1FVT,106,"4-[(2Z)-2-(5-bromo-2-oxo-1,2-dihydro-3H-indol-3-ylidene)hydrazinyl]benzene-1-sulfonamide",c1cc(ccc1NN=C2c3cc(ccc3NC2=O)Br)S(=O)(=O)N
1FXV,PNN,PENICILLIN G,CC1(C(N2C(S1)C(C2=O)NC(=O)Cc3ccccc3)C(=O)O)C
1G9V,RQ3,"2-{4-[(3,5-DIMETHYLANILINO)-CARBONYL-METHYL]-PHENOXY}-2-METHYLPROPIONIC ACID",Cc1cc(cc(c1)NC(=O)Cc2ccc(cc2)OC(C)(C)C(=O)O)C
1GII,1PU,"1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-PYRIDIN-2-YL-UREA",c1ccnc(c1)NC(=O)Nc2cccc3c2C4CCCN4C3=O
1GIJ,2PU,"1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA",c1cc2c(c(c1)NC(=O)Nc3cc([nH]n3)C4CCCN4)C5CCCN5C2=O
1GJ4,132,6-CHLORO-2-(2-HYDROXY-BIPHENYL-3-YL)-1H-INDOLE-5-CARBOXAMIDINE,c1ccc(cc1)c2cccc(c2O)c3cc4cc(c(cc4[nH]3)Cl)C(=[NH2+])N
1GJ5,130,2-(2-HYDROXY-BIPHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE,[H]N=C(c1ccc2c(c1)nc([nH]2)c3cccc(c3O)c4ccccc4)N
1GJ8,133,6-FLUORO-2-(2-HYDROXY-3-ISOBUTOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE,[H]N=C(c1cc2c(cc1F)[nH]c(n2)c3cccc(c3O)OCC(C)C)N
1H1Q,2A6,2-ANILINO-6-CYCLOHEXYLMETHOXYPURINE,c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3
1H82,GZZ,N-{8-[(8-{[(E)-AMINO(IMINO)METHYL]AMINO}OCTYL)AMINO]OCTYL}GUANIDINE,[H]N=C(N)NCCCCCCCCNCCCCCCCCNC(=N[H])N
1H9Z,RWF,R-WARFARIN,CC(=O)CC(c1ccccc1)C2=C(c3ccccc3OC2=O)O
1HA2,SWF,S-WARFARIN,CC(=O)CC(c1ccccc1)C2=C(c3ccccc3OC2=O)O
1I9H,BNI,"5-(2-OXO-HEXAHYDRO-THIENO[3,4-D]IMIDAZOL-6-YL)-PENTANOIC ACID (4-NITRO-PHENYL)-AMIDE",c1cc(ccc1NC(=O)CCCCC2C3C(CS2)NC(=O)N3)[N+](=O)[O-]
1INC,ICL,[1-(3-CHLORO-2-FORMYL-PHENYLCARBAMOYL)-2-METHYL-PROPYL]-CARBAMIC ACID TERT-BUTYL ESTER,CC(C)C(C(=O)Nc1cccc(c1C=O)Cl)NC(=O)OC(C)(C)C
1IX1,BB2,ACTINONIN,CCCCCC(CC(=O)NO)C(=O)NC(C(C)C)C(=O)N1CCCC1CO
1JLA,TNK,6-BENZYL-1-BENZYLOXYMETHYL-5-ISOPROPYL URACIL,CC(C)C1=C(N(C(=O)NC1=O)COCc2ccccc2)Cc3ccccc3
1K3T,BRZ,"6-(1,1-DIMETHYLALLYL)-2-(1-HYDROXY-1-METHYLETHYL)-2,3-DIHYDRO-7H-FURO[3,2-G]CHROMEN-7-ONE",CC(C)(C=C)C1=Cc2cc3c(cc2OC1=O)OC(C3)C(C)(C)O
1KE5,LS1,"N-METHYL-4-{[(2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]AMINO}BENZENESULFONAMIDE",CNS(=O)(=O)c1ccc(cc1)NC=C2c3ccccc3NC2=O
1KE6,LS2,"N-METHYL-{4-[2-(7-OXO-6,7-DIHYDRO-8H-[1,3]THIAZOLO[5,4-E]INDOL-8-YLIDENE)HYDRAZINO]PHENYL}METHANESULFONAMIDE",CNS(=O)(=O)Cc1ccc(cc1)NN=C2c3c(ccc4c3scn4)NC2=O
1KE8,LS4,"4-{[(2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]AMINO}-N-(1,3-THIAZOL-2-YL)BENZENESULFONAMIDE",c1ccc2c(c1)C(=CNc3ccc(cc3)S(=O)(=O)Nc4nccs4)C(=O)N2
1KMS,LIH,"6-([5-QUINOLYLAMINO]METHYL)-2,4-DIAMINO-5-METHYLPYRIDO[2,3-D]PYRIMIDINE",Cc1c(cnc2c1c(nc(n2)N)N)CNc3cccc4c3cccn4
1KV1,BMU,1-(5-TERT-BUTYL-2-METHYL-2H-PYRAZOL-3-YL)-3-(4-CHLORO-PHENYL)-UREA,CC(C)(C)c1cc(n(n1)C)NC(=O)Nc2ccc(cc2)Cl
1L2S,STC,3-[(4-CHLOROANILINO)SULFONYL]THIOPHENE-2-CARBOXYLIC ACID,c1cc(ccc1NS(=O)(=O)c2ccsc2C(=O)O)Cl
1LBC,CYZ,CYCLOTHIAZIDE,c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C3CC4CC3C=C4
1LHW,ESM,"1,3,5(10)-ESTRATRIEN-2,3,17-BETA-TRIOL 2-METHYL ETHER",CC12CCC3c4cc(c(cc4CCC3C1CCC2O)O)OC
1LKE,DOG,DIGOXIGENIN,CC12CCC(CC1CCC3C2CC(C4(C3(CCC4C5=CC(=O)OC5)O)C)O)O
1LNM,DTX,DIGITOXIGENIN,CC12CCC(CC1CCC3C2CCC4(C3(CCC4C5=CC(=O)OC5)O)C)O
1LO0,BC1,"3-{[(9-CYANO-9,10-DIHYDRO-10-METHYLACRIDIN-9-YL)CARBONYL]AMINO}PROPANOIC ACID",CN1c2ccccc2C(c3c1cccc3)(C#N)C(=O)NCCC(=O)O
1LY3,COG,"2,4-DIAMINO-6-[N-(2',5'-DIMETHOXYBENZYL)-N-METHYLAMINO]QUINAZOLINE",CN(Cc1cc(ccc1OC)OC)c2ccc3c(c2)c(nc(n3)N)N
1MEX,RAC,4-(2-DIMETHYLCARBAMOYL-PHENYLCARBAMOYLOXYMETHYL)-BENZOIC ACID,CN(C)C(=O)c1ccccc1NC(=O)OCc2ccc(cc2)C(=O)O
1MVS,DTM,"2,4-DIAMINO-6-[N-(3',4',5'-TRIMETHOXYBENZYL)-N-METHYLAMINO]PYRIDO[2,3-D]PYRIMIDINE",CN(Cc1cc(c(c(c1)OC)OC)OC)c2cc3c(nc(nc3nc2)N)N
1N46,PFA,"[4-(4-HYDROXY-3-ISOPROPYL-PHENOXY)-3,5-DIMETHYL-PHENYL]-6-AZAURACIL",Cc1cc(cc(c1Oc2ccc(c(c2)C(C)C)O)C)N3C(=O)NC(=O)C=N3
1NO6,794,2-[(CARBOXYCARBONYL)(1-NAPHTHYL)AMINO]BENZOIC ACID,c1ccc2c(c1)cccc2N(c3ccccc3C(=O)O)C(=O)C(=O)O
1O2G,696,"3-{5-[AMINO(IMINIO)METHYL]-1H-INDOL-2-YL}-1,1'-BIPHENYL-2-OLATE",c1ccc(cc1)c2cccc(c2[O-])c3cc4cc(ccc4[nH]3)C(=[NH2+])N
1O2H,CR3,2-{5-[AMINO(IMINIO)METHYL]-1H-INDOL-2-YL}-6-(CYCLOPENTYLOXY)BENZENOLATE,c1cc(c(c(c1)OC2CCCC2)[O-])c3cc4cc(ccc4[nH]3)C(=[NH2+])N
1O2L,762,"3-{5-[AMINO(IMINIO)METHYL]-6-CHLORO-1H-BENZIMIDAZOL-2-YL}-1,1'-BIPHENYL-2-OLATE",c1ccc(cc1)c2cccc(c2[O-])c3[nH]c4cc(c(cc4n3)C(=[NH2+])N)Cl
1O2O,950,2-{5-[AMINO(IMINIO)METHYL]-6-FLUORO-1H-BENZIMIDAZOL-2-YL}-6-ISOBUTOXYBENZENOLATE,CC(C)COc1cccc(c1[O-])c2[nH]c3cc(c(cc3n2)C(=[NH2+])N)F
1O2P,972,2-{5-[AMINO(IMINIO)METHYL]-6-CHLORO-1H-BENZIMIDAZOL-2-YL}-6-ISOBUTOXYBENZENOLATE,CC(C)COc1cccc(c1[O-])c2[nH]c3cc(c(cc3n2)C(=[NH2+])N)Cl
1O2Q,991,2-{5-[AMINO(IMINIO)METHYL]-6-CHLORO-1H-INDOL-2-YL}-6-(CYCLOPENTYLOXY)BENZENOLATE,c1cc(c(c(c1)OC2CCCC2)[O-])c3cc4cc(c(cc4[nH]3)Cl)C(=[NH2+])N
1O2R,CR9,2-{5-[AMINO(IMINIO)METHYL]-6-FLUORO-1H-BENZIMIDAZOL-2-YL}-6-[(2-METHYLCYCLOHEXYL)OXY]BENZENOLATE,CC1CCCCC1Oc2cccc(c2[O-])c3[nH]c4cc(c(cc4n3)C(=[NH2+])N)F
1O2T,783,"3-{5-[AMINO(IMINIO)METHYL]-1H-INDOL-2-YL}-5-METHOXY-1,1'-BIPHENYL-2-OLATE",COc1cc(c(c(c1)c2cc3cc(ccc3[nH]2)C(=[NH2+])N)[O-])c4ccccc4
1O39,780,"3-{5-[AMINO(IMINIO)METHYL]-1H-BENZIMIDAZOL-2-YL}-1,1'-BIPHENYL-2-OLATE",c1ccc(cc1)c2cccc(c2[O-])c3[nH]c4ccc(cc4n3)C(=[NH2+])N
1O3H,907,2-{5-[AMINO(IMINIO)METHYL]-1H-INDOL-2-YL}-6-BROMO-4-METHYLBENZENOLATE,Cc1cc(c(c(c1)Br)[O-])c2cc3cc(ccc3[nH]2)C(=[NH2+])N
1O3K,334,2-{5-[AMINO(IMINIO)METHYL]-1H-BENZIMIDAZOL-2-YL}-6-BROMO-4-METHYLBENZENOLATE,Cc1cc(c(c(c1)Br)[O-])c2[nH]c3ccc(cc3n2)C(=[NH2+])N
1O3M,785,2-{5-[AMINO(IMINIO)METHYL]-1H-BENZIMIDAZOL-2-YL}-4-(TRIFLUOROMETHOXY)BENZENOLATE,c1cc2c(cc1C(=[NH2+])N)nc([nH]2)c3cc(ccc3[O-])OC(F)(F)F
1OI9,N20,6-CYCLOHEXYLMETHYLOXY-2-(4'-HYDROXYANILINO)PURINE,c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)O
1OIT,HDT,"4-[(4-IMIDAZO[1,2-A]PYRIDIN-3-YLPYRIMIDIN-2-YL)AMINO]BENZENESULFONAMIDE",c1ccn2c(c1)ncc2c3ccnc(n3)Nc4ccc(cc4)S(=O)(=O)N
1OIY,N41,4-(6-CYCLOHEXYLMETHOXY-9H-PURIN-2-YLAMINO)--BENZAMIDE,c1cc(ccc1C(=O)N)Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3
1ONZ,968,2-[(7-HYDROXY-NAPHTHALEN-1-YL)-OXALYL-AMINO]-BENZOIC ACID,c1ccc(c(c1)C(=O)O)N(c2cccc3c2cc(cc3)O)C(=O)C(=O)O
1OWD,497,"6-[AMINO(IMINO)METHYL]-N-[(4R)-4-ETHYL-1,2,3,4-TETRAHYDROISOQUINOLIN-6-YL]-2-NAPHTHAMIDE",CCC1CNCc2c1cc(cc2)NC(=O)c3ccc4cc(ccc4c3)C(=N)N
1PD8,CO4,"2,4-DIAMINO-5-METHYL-6-[(3,4,5-TRIMETHOXY-N-METHYLANILINO)METHYL]PYRIDO[2,3-D]PYRIMIDINE",Cc1c(cnc2c1c(nc(n2)N)N)CN(C)c3cc(c(c(c3)OC)OC)OC
1PUC,CPS,3-[(3-CHOLAMIDOPROPYL)DIMETHYLAMMONIO]-1-PROPANESULFONATE,CC(CCC(=O)NCCC[N+](C)(C)CCCS(=O)(=O)[O-])C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
1PXL,CK4,"4-(2,4-DIMETHYL-1,3-THIAZOL-5-YL)-N-[4-(TRIFLUOROMETHYL)PHENYL]PYRIMIDIN-2-AMINE",Cc1c(sc(n1)C)c2ccnc(n2)Nc3ccc(cc3)C(F)(F)F
1PXN,CK6,4-[4-(4-METHYL-2-METHYLAMINO-THIAZOL-5-YL)-PYRIMIDIN-2-YLAMINO]-PHENOL,Cc1c(sc(n1)NC)c2ccnc(n2)Nc3ccc(cc3)O
1PXP,CK8,"N-[4-(2,4-DIMETHYL-THIAZOL-5-YL)-PYRIMIDIN-2-YL]-N',N'-DIMETHYL-BENZENE-1,4-DIAMINE",Cc1c(sc(n1)C)c2ccnc(n2)Nc3ccc(cc3)N(C)C
1Q5K,TMU,"N-(4-METHOXYBENZYL)-N'-(5-NITRO-1,3-THIAZOL-2-YL)UREA",COc1ccc(cc1)CNC(=O)Nc2ncc(s2)[N+](=O)[O-]
1QFS,ZPR,N-BENZYLOXYCARBONYL-L-PROLYL-L-PROLINAL,c1ccc(cc1)COC(=O)N2CCCC2C(=O)N3CCCC3C=O
1QJ1,166,6-CARBAMIMIDOYL-2-[2-HYDROXY-6-(4-HYDROXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID,c1cc(ccc1c2ccc3c(c2)C(C(C3)O)C(CCCCC(=N)N)C(=O)O)O
1QJ6,167,6-CARBAMIMIDOYL-2-[2-HYDROXY-5-(3-METHOXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID,COc1cccc(c1)c2ccc3c(c2)CC(C3C(CCCCC(=N)N)C(=O)O)O
1QPE,PP2,"1-TERT-BUTYL-3-(4-CHLORO-PHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-YLAMINE",CC(C)(C)n1c2c(c([nH+]1)c3ccc(cc3)Cl)c(ncn2)N
1QY8,RDI,RADICICOL,CC1CC2C(O2)CCCCC(=O)CC3C(C(=O)CC(=O)C3Cl)C(=O)O1
1REJ,B1L,3-[(4-HYDROXYBENZOYL)AMINO]AZEPAN-4-YL 4-HYDROXYBENZOATE,c1cc(ccc1C(=O)NC2CNCCCC2OC(=O)c3ccc(cc3)O)O
1RY0,PG2,PROSTAGLANDIN D2,CCCCCC(C=CC1C(C(CC1=O)O)CC=CCCCC(=O)O)O
1S3U,TQD,"(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine",CN(CC1CCC2=C(C1)C(=NC(N2)N)N)c3cc(c(c(c3)OC)OC)OC
1SJW,NGV,"METHYL 5,7-DIHYDROXY-2-METHYL-4,6,11-TRIOXO-3,4,6,11-TETRAHYDROTETRACENE-1-CARBOXYLATE",CC1=C(c2cc3c(c(c2C(=O)C1)O)C(=O)c4c(cccc4O)C3=O)C(=O)OC
1SQN,NDR,"(14beta,17alpha)-17-ethynyl-17-hydroxyestr-4-en-3-one",CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
1SRH,MOB,"2-((3',5'-DIMETHOXY-4'-HYDROXYPHENYL)AZO)BENZOIC ACID",COc1cc(cc(c1O)OC)N=Nc2ccccc2C(=O)O
1T4V,14A,N-ALLYL-5-AMIDINOAMINOOXY-PROPYLOXY-3-CHLORO-N-CYCLOPENTYLBENZAMIDE,C=CCN(C1CCCC1)C(=O)c2cc(cc(c2)Cl)OCCCONC(=N)N
1T9C,1SM,"METHYL 2-[({[(4,6-DIMETHYLPYRIMIDIN-2-YL)AMINO]CARBONYL}AMINO)SULFONYL]BENZOATE",Cc1cc(nc(n1)NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC)C
1TOM,MIN,METHYL-PHE-PRO-AMINO-CYCLOHEXYLGLYCINE,CNC(Cc1ccccc1)C(=O)N2CCCC2C(=O)NCC3CCC(CC3)N
1TOU,B1V,2-[(2-OXO-2-PIPERIDIN-1-YLETHYL)SULFANYL]-6-(TRIFLUOROMETHYL)PYRIMIDIN-4-OL,c1c(nc(nc1O)SCC(=O)N2CCCCC2)C(F)(F)F
1TVO,FRZ,"5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE",c1ccc(cc1)c2c(c3ccccn3n2)c4cc5c(n[nH]c5nn4)N
1U1G,BBB,"1-((2-HYDROXYETHOXY)METHYL)-5-(3-(BENZYLOXY)BENZYL)-6-HYDROXYPYRIMIDINE-2,4(1H,3H)-DIONE",c1ccc(cc1)COc2cccc(c2)CC3=C(N(C(=O)NC3=O)COCCO)O
1U21,P2C,"2-[(3,5-DICHLORO-4-TRIOXIDANYLPHENYL)AMINO]BENZOIC ACID",c1ccc(c(c1)C(=O)O)Nc2cc(c(c(c2)Cl)OOO)Cl
1U9V,IHE,6-(CYCLOHEXYLAMINO)-9-[2-(4-METHYLPIPERAZIN-1-YL)-ETHYL]-9H-PURINE-2-CARBONITRILE,CN1CCN(CC1)CCn2cnc3c2nc(nc3NC4CCCCC4)C#N
1U9W,IHI,9-CYCLOPENTYL-6-[2-(3-IMIDAZOL-1-YL-PROPOXY)-PHENYLAMINO]-9H-PURINE-2-CARBONITRILE,c1ccc(c(c1)Nc2c3c(nc(n2)C#N)n(cn3)C4CCCC4)OCCCn5ccnc5
1UM4,SH4,(1R)-1-PHENYLETHYL 4-(ACETYLAMINO)BENZYLPHOSPHONATE,CC(c1ccccc1)OP(=O)(Cc2ccc(cc2)NC(=O)C)[O-]
1UNL,RRC,R-ROSCOVITINE,CCC(CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccccc3
1UVT,I48,N-{3-METHYL-5-[2-(PYRIDIN-4-YLAMINO)-ETHOXY]-PHENYL}-BENZENESULFONAMIDE,Cc1cc(cc(c1)OCCNc2cc[nH+]cc2)NS(=O)(=O)c3ccccc3
1UY6,PU3,"9-BUTYL-8-(3,4,5-TRIMETHOXYBENZYL)-9H-PURIN-6-AMINE",CCCCn1c(nc2c1ncnc2N)Cc3cc(c(c(c3)OC)OC)OC
1UY7,PU4,9-BUTYL-8-(4-METHOXYBENZYL)-9H-PURIN-6-AMINE,CCCCn1c(nc2c1ncnc2N)Cc3ccc(cc3)OC
1UY8,PU5,9-BUTYL-8-(3-METHOXYBENZYL)-9H-PURIN-6-AMINE,CCCCn1c(nc2c1ncnc2N)Cc3cccc(c3)OC
1UYC,PU7,"9-BUTYL-8-(2,5-DIMETHOXY-BENZYL)-9H-PURIN-6-YLAMINE",CCCCn1c(nc2c1ncnc2N)Cc3cc(ccc3OC)OC
1UYG,PU2,"8-(2,5-DIMETHOXY-BENZYL)-2-FLUORO-9H-PURIN-6-YLAMINE",COc1ccc(c(c1)Cc2[nH]c3c(nc(nc3n2)F)N)OC
1UYH,PU0,"9-BUTYL-8-(2,5-DIMETHOXY-BENZYL)-2-FLUORO-9H-PURIN-6-YLAMINE",CCCCn1c(nc2c1nc(nc2N)F)Cc3cc(ccc3OC)OC
1UYI,PUZ,"8-(2,5-DIMETHOXY-BENZYL)-2-FLUORO-9-PENT-9H-PURIN-6-YLAMINE",COc1ccc(c(c1)Cc2nc3c(nc(nc3n2CCCC#C)F)N)OC
1UYK,PUX,"8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-2-FLUORO-9H-PURIN-6-YLAMINE",CCCCn1c(nc2c1nc(nc2N)F)Cc3ccc4c(c3)OCO4
1V2N,BBA,"2,7-BIS-(4-AMIDINOBENZYLIDENE)-CYCLOHEPTAN-1-ONE",c1cc(ccc1CC2CCCCC(C2=O)Cc3ccc(cc3)C(=N)N)C(=N)N
1V4S,MRK,"2-AMINO-4-FLUORO-5-[(1-METHYL-1H-IMIDAZOL-2-YL)SULFANYL]-N-(1,3-THIAZOL-2-YL)BENZAMIDE",Cn1ccnc1Sc2cc(c(cc2F)N)C(=O)Nc3nccs3
1VCJ,IBA,4-[(2R)-2-(AMINOMETHYL)-2-(HYDROXYMETHYL)-5-OXOPYRROLIDIN-1-YL]-3-[(1-ETHYLPROPYL)AMINO]BENZOIC ACID,CCC(CC)Nc1cc(ccc1N2C(=O)CCC2(CN)CO)C(=O)O
1W3Y,PVC,"(2E,4R,5S)-2,3,4,5-TETRAHYDROXY-6-(PALMITOYLOXY)HEX-2-ENOIC ACID",CCCCCCCCCCCCCCCC(=O)OCC(C(C(=C(C(=O)O)O)O)O)O
1XGI,NST,3-{[(3-NITROANILINE]SULFONYL}THIOPHENE-2-CARBOXYLIC ACID,c1cc(cc(c1)[N+](=O)[O-])NS(=O)(=O)c2ccsc2C(=O)O
1XKA,4PP,(2S)-(3'-AMIDINO-3-BIPHENYL)-5-(4-PYRIDYLAMINO)PENTANOIC ACID,c1cc(cc(c1)C(CCCNc2ccncc2)C(=O)O)c3cccc(c3)C(=N)N
1XNN,HYQ,"REL-(3AR,4S,7R,7AS)-3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE",c1ccc2c(c1)c(ccc2[N+](=O)[O-])N3C(=O)C4C5CCC(C4C3=O)CC5
1XUC,PB3,"N,N'-BIS(3-METHYLBENZYL)PYRIMIDINE-4,6-DICARBOXAMIDE",Cc1cccc(c1)CNC(=O)c2cc(ncn2)C(=O)NCc3cccc(c3)C
1Y5W,NEZ,"6-AMINO-4-[2-(4-METHYLPHENYL)ETHYL]-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE",Cc1ccc(cc1)CCc2c3c(cc4c2N=C(NC4=O)N)[nH]cn3
1Y5X,E89,"6-AMINO-4-[2-(4-METHOXYPHENYL)ETHYL]-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE",COc1ccc(cc1)CCc2c3c(cc4c2N=C(NC4=O)N)[nH]cn3
1Y8Y,CT7,"(5-CHLOROPYRAZOLO[1,5-A]PYRIMIDIN-7-YL)-(4-METHANESULFONYLPHENYL)AMINE",CS(=O)(=O)c1ccc(cc1)Nc2cc(nc3n2ncc3)Cl
1Y9R,1CA,DESOXYCORTICOSTERONE,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C
1YK7,NBL,N2-[(BENZYLOXY)CARBONYL]-N1-[(3S)-1-CYANOPYRROLIDIN-3-YL]-L-LEUCINAMIDE,CC(C)CC(C(=O)NC1CCN(C1)C#N)NC(=O)OCc2ccccc2
1YRS,L47,"3-[(5S)-1-ACETYL-3-(2-CHLOROPHENYL)-4,5-DIHYDRO-1H-PYRAZOL-5-YL]PHENOL",CC(=O)N1C(CC(=N1)c2ccccc2Cl)c3cccc(c3)O
