,rcsb_id,uniprot,ligand_name,smiles,source
70,1bnu,P00918,AL3,c1cc(sc1)CN2CC(c3cc(sc3S2(=O)=O)S(=O)(=O)N)O,pdbbind_old
71,1bnv,P00918,AL7,CNC1CN(S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)c3cccc(c3)OC,pdbbind_new
72,1bnw,P00918,TPD,c1cc(sc1)CNS(=O)(=O)c2ccc(s2)S(=O)(=O)N,pdbbind_old
73,1bp0,P00469,UMP,C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,pdbbind_old
74,1bq4,P00950,BHC,c1(c(c(c(c(c1C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O,pdbbind_old
75,1br6,P02879,PT1,c1cc(ccc1C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)O,pdbbind_old
76,1bty,P00760,BEN,[H]N=C(c1ccccc1)N,pdbbind_old
77,1bv7,P04585,XV6,c1ccc(cc1)CC2C(C(C(N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O,pdbbind_old
78,1bv9,P04585,XV6,c1ccc(cc1)CC2C(C(C(N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O,pdbbind_new
79,1bwa,P04585,XV6,c1ccc(cc1)CC2C(C(C(N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O,pdbbind_new
80,1bwb,P04585,146,c1ccc(cc1)CC2C(C(C(N(C(=O)N2Cc3cccc(c3)C(=O)Nc4[nH]c5ccccc5n4)Cc6cccc(c6)C(=O)Nc7[nH]c8ccccc8n7)Cc9ccccc9)O)O,pdbbind_old
81,1bxo,P00798,PP7,CC(C)CC1NC(=O)C(CC(=O)NCc2cccc(c2)CC(OP1(=O)O)C(=O)OC)NC(=O)C(C(C)C)NC(=O)CC(C)C,pdbbind_old
82,1bxq,P00798,PP8,CC(C)CC(NC(=O)C(CC(=O)N)NC(=O)C(C(C)C)NC(=O)CC(C)C)P(=O)(O)OC(Cc1ccccc1)C(=O)OC,pdbbind_new
83,1bxr,P00968 P0A6F1,ANP,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)N,pdbbind_old
84,1bzc,P18031,TPI,c1cc(cc2c1cc(cc2)C(F)(F)P(=O)(O)O)C(=O)NC(CCC(=O)O)C(=O)N,pdbbind_old
85,1bzj,P18031,PIC,c1cc(cc2c1cc(cc2)C(F)(F)P(=O)(O)O)C(=O)O,pdbbind_old
86,1bzy,P00492,IMU,c1c(c2c([nH]1)C(=O)NC(=N2)N)C3C(C(C(N3)COP(=O)(O)O)O)O,pdbbind_old
87,1c1b,P04585,GCA,CCOCN1C(=C(C(=O)NC1=O)C(C)C)Cc2cc(cc(c2)C)C,dcoid
88,1c1c,P04585,612,CCOCN1C(=C(C(=O)NC1=O)C(C)C)SC2CCCCC2,dcoid
89,1c1e,,ENH,CN1C(=O)C2C(C1=O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,dcoid
90,1c1r,P00760,BAI,c1ccc2c(c1)[nH]c(n2)Cc3[nH]c4ccc(cc4n3)C(=N)N,pdbbind_old
91,1c1u,P28504 P00734,BAI,c1ccc2c(c1)[nH]c(n2)Cc3[nH]c4ccc(cc4n3)C(=N)N,pdbbind_old
92,1c1v,P28504 P00734,BAB,c1cc2c(cc1C(=[NH2+])N)[nH]c([nH+]2)Cc3[nH]c4cc(ccc4n3)C(=[NH2+])N,pdbbind_old
93,1c3x,P81989,8IG,c12c([nH]c(n1)I)N=C(NC2=O)N,pdbbind_old
94,1c4u,P28504 P00734,IH1,c1cc(ccc1S(=O)(=O)CCN2C(=O)N3CC=CC(N3C2=O)C(=O)NCC4CCC(CC4)C(=N)N)Br,pdbbind_old
95,1c5c,,TK4,CC(=O)Nc1ccc2c(c1S(=O)(=O)O)cccc2S(=O)(=O)O,pdbbind_old
96,1c5n,P28504 P00734,ESI,c1cc2c(cc(s2)C(=[NH2+])N)c(c1)I,pdbbind_old
97,1c5q,P00760,ESI,c1cc2c(cc(s2)C(=[NH2+])N)c(c1)I,pdbbind_old
98,1c5s,P00760,ESX,c1ccc2c(c1)cc(s2)C(=[NH2+])N,pdbbind_old
99,1c5t,P00760,ESP,c1cc2cc(sc2nc1)C(=[NH2+])N,pdbbind_old
100,1c5x,P00749,ESI,c1cc2c(cc(s2)C(=[NH2+])N)c(c1)I,pdbbind_old
101,1c5y,P00749,ESP,c1cc2cc(sc2nc1)C(=[NH2+])N,pdbbind_old
102,1c70,O92103,L75,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(Cc2ccccc2)C(=O)NC3c4ccccc4CC3O)O)Cc5cc6ccccc6o5,pdbbind_old
103,1c83,P18031,OAI,c1c[nH]c2c1cc(c(c2)NC(=O)C(=O)O)C(=O)O,pdbbind_old
104,1c84,P18031,761,c1ccc2cc(c(cc2c1)C(=O)O)NC(=O)C(=O)O,pdbbind_old
105,1c86,P18031,OPA,C1COCc2c1c(c(s2)NC(=O)C(=O)O)C(=O)O,pdbbind_old
106,1c87,P18031,OPA,C1COCc2c1c(c(s2)NC(=O)C(=O)O)C(=O)O,pdbbind_old
107,1c88,P18031,OTA,C1CNCc2c1c(c(s2)NC(=O)C(=O)O)C(=O)O,pdbbind_old
108,1cbx,P00730,BZS,c1ccc(cc1)CC(CC(=O)O)C(=O)O,pdbbind_old
109,1ceb,P00747,AMH,C1CC(CCC1CN)C(=O)O,pdbbind_old
110,1cet,Q27743,CLQ,CCN(CC)CCCC(C)Nc1ccnc2c1ccc(c2)Cl,pdbbind_old
111,1ciz,P08254,DPS,c1ccc(cc1)C2CCN(CC2)c3ccc(cc3)S(=O)(=O)NC(Cc4c[nH]c5c4cccc5)C(=O)O,pdbbind_old
112,1cnw,P00918,EG1,c1cc(ccc1C(=O)NCCOCCOCCNC(=O)CN)S(=O)(=O)N,pdbbind_old
113,1cnx,P00918,EG2,c1cc(ccc1C(=O)NCCOCCOCCN)S(=O)(=O)N,pdbbind_new
114,1cny,P00918,EG3,c1ccc(cc1)CC(C(=O)NCCOCCOCCNC(=O)c2ccc(cc2)S(=O)(=O)N)N,pdbbind_old
115,1cps,P00730,CPM,CS(=N)(=N)CC(Cc1ccccc1)C(=O)O,pdbbind_old
116,1ctt,P0ABF6,DHZ,C1C=CN(C(=O)N1)C2C(C(C(O2)CO)O)O,pdbbind_old
117,1ctu,P0ABF6,ZEB,C1=CN(C(=O)NC1O)C2C(C(C(O2)CO)O)O,pdbbind_old
118,1d09,P0A786 P0A7F3,PAL,C(C(C(=O)O)NC(=O)CP(=O)(O)O)C(=O)O,pdbbind_old
119,1d2e,P49410,GDP,c1nc2c(n1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,pdbbind_old
120,1d3d,P01050 P00734,BZT,c1cc(ccc1c2c(c3ccc(cc3s2)O)Cc4ccc(c(c4)Br)CN5CCCC5)OCCN6CCCC6,pdbbind_old
121,1d3p,P00734,BT3,c1cc(ccc1Cc2c3ccc(cc3sc2c4ccc(nc4)OCCN5CCCC5)O)OCCN6CCCC6,pdbbind_new
122,1d4h,P03366,BEH,c1ccc(cc1)CNC(=O)C(C(C(C(C(=O)NC2c3ccccc3CC2O)OCc4ccccc4)O)O)OCc5ccccc5,pdbbind_old
123,1d4i,P03366,BEG,c1ccc(cc1)COC(CC(C(C(=O)NC2c3ccccc3CC2O)OCc4ccccc4)O)C(=O)NC5c6ccccc6CC5O,pdbbind_old
124,1d4j,P03366,MSC,c1ccc(cc1)COC(C(C(C(C(=O)NC2c3ccccc3CC2O)OCc4ccccc4)O)O)C(=O)NCc5c(cccc5Cl)F,pdbbind_old
125,1d4k,P03369,PI8,CCC(C)C1C(=O)NCCCCCOc2ccc(cc2)CC(C(=O)N1)NCC(CC(Cc3ccccc3)C(=O)NC4c5ccccc5CC4O)O,pdbbind_old
126,1d4l,P03369,PI9,CC(C)CCN(CC(C1Cc2ccc(cc2)OCCCCCC(=O)NC(C(=O)N1)C(C)C)O)S(=O)(=O)c3ccc(cc3)N,pdbbind_old
127,1d4p,P01050 P00734,BPP,c1ccc(cc1)CC2CCN(CC2)C(=O)c3cc4cc(ccc4[nH]3)C(=N)N,pdbbind_old
128,1d4y,P03367,TPV,CCCC1(CC(=C(C(=O)O1)C(CC)c2cccc(c2)NS(=O)(=O)c3ccc(cn3)C(F)(F)F)O)CCc4ccccc4,pdbbind_old
129,1d6v,P01857 P01834,HOP,c1ccc(cc1)C2CCC(C(C2)O)c3ccc(cc3)C(=O)NCCCC(=O)O,pdbbind_old
130,1d6w,P28511 P00734,00R,c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=CC(N3C2=O)C(=O)NC4CCC(CC4)c5cnc([nH]5)N,pdbbind_old
131,1d7i,P62942,DSS,CSCS(=O)C,pdbbind_old
132,1d7j,P62942,BUQ,CC(=O)CCO,pdbbind_old
133,1d9i,P28504 P00734,00P,c1ccc(cc1)S(=O)(=O)CCN2C(=O)N3CC=CC(N3C2=O)C(=O)NCC4CCC(CC4)N,pdbbind_old
134,1dar,Q5SHN5,GDP,c1nc2c(n1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,pdbbind_old
135,1det,P00651,2GP,c1nc2c(n1C3C(C(C(O3)CO)O)OP(=O)(O)O)N=C(NC2=O)N,pdbbind_old
136,1df8,P22629,BTN,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,pdbbind_old
137,1dgm,Q9TVW2,ADN,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)CO)O)O)N,pdbbind_old
138,1dhi,P0ABQ4,MTX,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O,pdbbind_old
139,1dhj,P0ABQ4,MTX,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O,pdbbind_new
140,1dif,P03367,A85,CC(C)C(C(=O)NC(Cc1ccccc1)C(C(C(Cc2ccccc2)NC(=O)C(C(C)C)NC(=O)N(C)Cc3ccccn3)(F)F)(O)O)NC(=O)N(C)Cc4ccccn4,pdbbind_old
141,1dl7,P01820 P01724,NCH,C[N+](C)(C)CCOP(=O)(O)Oc1ccc(cc1)[N+](=O)[O-],pdbbind_old
142,1dlr,P00374,MXA,Cc1c(cnc2c1c(nc(n2)N)N)Cc3cc(ccc3OC)OC,dcoid
143,1dmp,P04585,DMQ,c1ccc(cc1)CC2C(C(C(N(C(=O)N2Cc3cccc(c3)N)Cc4cccc(c4)N)Cc5ccccc5)O)O,pdbbind_old
144,1dqn,Q24973,IMU,c1c(c2c([nH]1)C(=O)NC(=N2)N)C3C(C(C(N3)COP(=O)(O)O)O)O,pdbbind_old
145,1drj,P02925,RIP,C1C(C(C(C(O1)O)O)O)O,pdbbind_old
146,1drk,P02925,RIP,C1C(C(C(C(O1)O)O)O)O,pdbbind_new
147,1drv,P04036,A3D,CC(=O)c1ccc[n+](c1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)n4cnc5c4ncnc5N)O)O)O)O,pdbbind_old
148,1dud,P06968,DUD,C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)O)O,pdbbind_old
149,1duv,P04391,PSQ,C(CC(C(=O)O)N)CNP(=O)(N)NS(=O)(=O)O,pdbbind_old
150,1dy4,P62694,SNP,CC(C)NCC(COc1cccc2c1cccc2)O,pdbbind_old
151,1dzk,P81245,PRZ,CC(C)Cc1c(nccn1)OC,pdbbind_old
152,1e1v,P24941,CMG,c1[nH]c2c(n1)c(nc(n2)N)OCC3CCCCC3,pdbbind_old
153,1e1x,P24941,NW1,C1CCC(CC1)COc2c(c(nc(n2)N)N)N=O,pdbbind_old
154,1e2k,P03176,TMC,CC1=CN(C(=O)NC1=O)C2CC(C3(C2C3)CO)O,pdbbind_old
155,1e2l,P03176,TMC,CC1=CN(C(=O)NC1=O)C2CC(C3(C2C3)CO)O,pdbbind_old
156,1e3g,P10275,R18,CC1(CCC2C1(C=CC3=C4CCC(=O)C=C4CCC23)C)O,pdbbind_old
157,1e3v,P07445,DXC,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C,pdbbind_old
158,1e4h,P02766,PBR,c1(c(c(c(c(c1Br)Br)Br)Br)Br)O,pdbbind_old
159,1e66,P04058,HUX,CCC1=CC2Cc3c(c(c4ccc(cc4n3)Cl)N)C(C2)C1,pdbbind_old
160,1e6q,P29736,NTZ,C(C1C(C(C(c2n1nnn2)O)O)O)O,pdbbind_old
161,1e6s,P29736,GOX,C(C1C(C(C(C(=NO)N1)O)O)O)O,pdbbind_old
162,1e7v,O02697,LY2,c1ccc(cc1)c2cccc3c2OC(=CC3=O)N4CCOCC4,dcoid
163,1eap,,HEP,CCCCC(NC(=O)CCC(=O)O)P(=O)(O)Oc1ccccc1,dcoid
164,1eb2,P00760,BPO,[H]N=C(c1cccc(c1)C(=O)NC(c2ccccc2)C(=O)N3CCC(CC3)C(=O)c4ccccc4)N,pdbbind_old
165,1ebw,P03366,BEI,CCC(C)C(C(=O)NC)NC(=O)C(C(C(C(C(=O)NC(C(C)CC)C(=O)NC)OCc1ccccc1)O)O)OCc2ccccc2,pdbbind_old
166,1eby,P03366,BEB,c1ccc(cc1)COC(C(C(C(C(=O)NC2c3ccccc3CC2O)OCc4ccccc4)O)O)C(=O)NC5c6ccccc6CC5O,pdbbind_old
167,1ebz,P03366,BEC,CC(C)C(C(=O)NC)NC(=O)C(C(C(C(C(=O)NC1c2ccccc2CC1O)OCc3ccccc3)O)O)OCc4ccccc4,pdbbind_old
168,1ec0,P03366,BED,c1ccc2c(c1)CC(C2NC(=O)C(C(C(C(C(=O)NC3c4ccccc4CC3O)OCc5ccccc5F)O)O)OCc6ccccc6F)O,pdbbind_old
169,1ec1,P03366,BEE,CC(C)C(C(=O)NC)NC(=O)C(C(C(C(C(=O)NC(C(C)C)C(=O)NC)OCc1ccc(cc1)c2ccsc2)O)O)OCc3ccc(cc3)c4ccsc4,pdbbind_old
170,1ec2,P03366,BEJ,CC(C)C(C(=O)NC)NC(=O)C(C(C(C(C(=O)NC(C(C)C)C(=O)NC)OCc1ccc(cc1)c2cccnc2)O)O)OCc3ccc(cc3)c4cccnc4,pdbbind_new
171,1ec3,P03366,MS3,CC(C)C(C(=O)NCc1ccccn1)NC(=O)C(C(C(C(C(=O)NC(C(C)C)C(=O)NCc2ccccn2)OCc3ccccc3)O)O)OCc4ccccc4,pdbbind_old
172,1ec9,P0AES2,XYH,C(C(C(=O)NO)O)(C(C(=O)[O-])O)O,pdbbind_old
173,1ecq,P0AES2,DXG,C(C(C(C(=O)[O-])O)O)C(C(=O)[O-])O,pdbbind_old
174,1ecv,P18031,878,c1cc(c(cc1I)C(=O)O)NC(=O)C(=O)O,pdbbind_old
175,1efy,P26446,BZC,COc1cccc(c1)c2[nH]c3cccc(c3n2)C(=O)N,pdbbind_old
176,1egh,P0A731,PGA,C(C(=O)O)OP(=O)(O)O,pdbbind_old
177,1ejn,P00749,AGB,[H]N=C(N)Nc1ccc(cc1)CNC(=O)NC23CC4CC(C2)CC(C4)C3,pdbbind_old
178,1ela,P00772,0Z1,CC(C)c1ccc(cc1)NC(=O)C2CCCN2C(=O)C(CCCC[NH3+])NC(=O)C(F)(F)F,pdbbind_old
179,1elb,P00772,0Z4,CC(C)CC(C(=O)Nc1ccc(cc1)C(C)C)NC(=O)C(CCCC[NH3+])NC(=O)C(F)(F)F,pdbbind_old
180,1elc,P00772,0Z3,CC(C)c1ccc(cc1)NC(=O)C(Cc2ccccc2)NC(=O)C(CCCC[NH3+])NC(=O)C(F)(F)F,pdbbind_old
181,1enu,P28720,APZ,c1cc2c(cc1N)C(=O)NNC2=O,pdbbind_old
182,1eoc,P20371 P20372,4NC,c1cc(c(cc1[N+](=O)[O-])O)O,pdbbind_old
183,1erb,P18902,ETR,CCNC(=O)C=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C,pdbbind_old
184,1ew8,P00634,PAE,C(C(=O)O)P(=O)(O)O,pdbbind_old
185,1ew9,P00634,MMQ,C(P(=O)([O-])[O-])S,pdbbind_old
186,1ewl,P25779,R99,CC(C)CCNC(=O)C(CCc1ccccc1)NC(=O)C(CC(=O)O)O,dcoid
187,1ewm,P25779,RL2,CC(C)CCNC(=O)C(CCc1ccccc1)NC(=O)C(CC(=O)O)O,dcoid
188,1ex8,P26281,A4P,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4=NC5=C(NC4)N=C(NC5=O)N)O)O)N,pdbbind_old
189,1ezq,P00742,RPR,CC(C(Cc1cccc(c1)C(=N)N)C(=O)OC)NC(=O)c2ccc(cc2)c3cccc(c3)CN,pdbbind_old
190,1f0r,P00742,815,c1cc2c(cc(s2)S(=O)(=O)NC3CCN(C3=O)Cc4ccc5ccnc(c5c4)N)nc1,pdbbind_old
191,1f0s,P00742,PR2,c1cc2c(cc(s2)S(=O)(=O)NC3CCN(C3=O)Cc4cc5ccncc5[nH]4)nc1,pdbbind_old
192,1f0t,P00760,PR1,c1cc2c(cc(s2)S(=O)(=O)NC3CCN(C3=O)Cc4cc(ccc4O)C(=N)N)nc1,pdbbind_old
193,1f0u,P00760,RPR,CC(C(Cc1cccc(c1)C(=N)N)C(=O)OC)NC(=O)c2ccc(cc2)c3cccc(c3)CN,pdbbind_old
194,1f3e,P28720,DPZ,c1c(cc(c2c1C(=O)NNC2=O)N)N,pdbbind_new
195,1f4e,P0A884,TPR,Cc1ccc(cc1)S(=O)(=O)N2CCCC2C(=O)O,pdbbind_old
196,1f4f,P0A884,TP3,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)S(=O)(=O)N2CCCC2C(=O)O,pdbbind_old
197,1f4g,P0A884,TP4,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)S(=O)(=O)N2CCCC2C(=O)NCCC(=O)O,pdbbind_old
198,1f57,P00730,DCY,C(C(C(=O)O)N)S,pdbbind_old
